Country_Code,Country,City_Code,City,Latitude,Longitude,Year,Population_in_Thousands,Interpolated
36,Australia,206167,Sydney,-33.86785,151.20732,1950,1689.935,False
36,Australia,206167,Sydney,-33.86785,151.20732,1955,1905.976,False
36,Australia,206167,Sydney,-33.86785,151.20732,1960,2134.673,False
36,Australia,206167,Sydney,-33.86785,151.20732,1965,2390.224,False
36,Australia,206167,Sydney,-33.86785,151.20732,1970,2892.477,False
36,Australia,206167,Sydney,-33.86785,151.20732,1975,3117.906,False
36,Australia,206167,Sydney,-33.86785,151.20732,1980,3252.111,False
36,Australia,206167,Sydney,-33.86785,151.20732,1985,3432.435,False
36,Australia,206167,Sydney,-33.86785,151.20732,1990,3631.94,False
36,Australia,206167,Sydney,-33.86785,151.20732,1995,3819.26,False
36,Australia,206167,Sydney,-33.86785,151.20732,2000,3779.704,False
36,Australia,206167,Sydney,-33.86785,151.20732,2005,3874.825,False
36,Australia,206167,Sydney,-33.86785,151.20732,2010,4165.739,False
36,Australia,206167,Sydney,-33.86785,151.20732,2011,4241.449799999999,True
36,Australia,206167,Sydney,-33.86785,151.20732,2012,4317.160599999999,True
36,Australia,206167,Sydney,-33.86785,151.20732,2013,4392.8714,True
36,Australia,206167,Sydney,-33.86785,151.20732,2014,4468.5822,True
36,Australia,206167,Sydney,-33.86785,151.20732,2015,4544.293,False
36,Australia,206167,Sydney,-33.86785,151.20732,2016,4620.6318,True
36,Australia,206167,Sydney,-33.86785,151.20732,2017,4696.9706,True
36,Australia,206167,Sydney,-33.86785,151.20732,2018,4773.3094,True
36,Australia,206167,Sydney,-33.86785,151.20732,2019,4849.6482,True
36,Australia,206167,Sydney,-33.86785,151.20732,2020,4925.987,False
156,China,20656,Shanghai,31.22222,121.45806,1950,4288.091,False
156,China,20656,Shanghai,31.22222,121.45806,1955,5712.858,False
156,China,20656,Shanghai,31.22222,121.45806,1960,6865.312,False
156,China,20656,Shanghai,31.22222,121.45806,1965,6428.131,False
156,China,20656,Shanghai,31.22222,121.45806,1970,6052.468,False
156,China,20656,Shanghai,31.22222,121.45806,1975,5658.129,False
156,China,20656,Shanghai,31.22222,121.45806,1980,5927.898,False
156,China,20656,Shanghai,31.22222,121.45806,1985,7096.28,False
156,China,20656,Shanghai,31.22222,121.45806,1990,8605.812,False
156,China,20656,Shanghai,31.22222,121.45806,1995,11072.063,False
156,China,20656,Shanghai,31.22222,121.45806,2000,14246.541,False
156,China,20656,Shanghai,31.22222,121.45806,2005,17055.788,False
156,China,20656,Shanghai,31.22222,121.45806,2010,20314.309,False
